Destinations,Feedback score (out of 10),Average hotel star rating,Number of all-inclusive hotels,Most visited city
France,8.5,4.1,226,Paris
Belgium,7.2,3.7,12,Brussels
Russia,5.6,2.6,312,St Petersburg
Germany,8.4,3.8,156,Munich
UK,8.2,3.2,98,London
USA,5.1,3.0,234,New York
Canada,9.7,4.5,412,Toronto
Mexico,7.8,1.8,567,Cancun
Argentina,8.0,3.7,231,Buenos Aires
Switzerland,9.2,4.9,39,Zurich
Austria,3.8,3.5,123,Vienna
Italy,7.9,3.3,187,Rome
Spain,9.0,2.8,436,Barcelona
Czech Republic,5.8,3.3,18,Prague
Australia,9.1,3.5,177,Melbourne
